much	negative:-4.9485655646877005	positive:-4.9126872770227985
gun	negative:-7.615922426298468	positive:-7.839065977612678
basic	negative:-7.759023269939141	positive:-7.68491529778542
turns	negative:-6.85928693802206	positive:-7.029185974817458
gesture	negative:-9.630069924098052	positive:-9.630069924098052
brother	negative:-7.066795086424313	positive:-6.957595794459321
plain	negative:-6.687141420033269	positive:-7.839820929971654
That	negative:-5.909031937700205	positive:-6.184737819105271
woman	negative:-6.4976926619859725	positive:-6.356042144922945
discussed	negative:-10.323282824952447	positive:-8.713844912518347
then	negative:-5.168566573544314	positive:-5.398878614337136
important	negative:-7.189528624892637	positive:-6.741503902365677
weak	negative:-7.066237224661113	positive:-7.839427112894595
Americans	negative:-8.021124808625153	positive:-8.12648532428298
degrade	negative:-10.323184242891017	positive:-9.630037062331072
close	negative:-6.587615603648484	positive:-7.1064093970636515
brother/boyfriend/husband	negative:-10.323184242891017	positive:-9.630037062331072
victimisation	negative:-10.323184242891017	positive:-9.630037062331072
characters	negative:-5.1201393871808785	positive:-5.125588991948443
stacked	negative:-10.323184242891017	positive:-9.630037062331072
theme	negative:-7.616086594867122	positive:-7.490923451913116
them	negative:-5.103771665799622	positive:-5.175824983439679
understand	negative:-6.337448283960663	positive:-6.455231319617047
World	negative:-7.7591546069501	positive:-7.433732206515471
propaganda	negative:-8.020927718981577	positive:-9.224900523307513
Wada	negative:-10.323184242891017	positive:-9.630037062331072
begins	negative:-7.616414851172591	positive:-7.028628186270472
main	negative:-5.933194404415343	positive:-6.267200548541362
Philippines	negative:-9.224637676677007	positive:-9.630102784785171
struggling	negative:-8.37770121259764	positive:-8.126386784316733
fed	negative:-9.224670536284338	positive:-9.224670536284338
Throughout	negative:-9.224801963917187	positive:-8.377504103529983
potatoes	negative:-10.323184242891017	positive:-9.630037062331072
since	negative:-6.079377303447444	positive:-5.997139205210472
fleeing	negative:-9.224736252259914	positive:-8.713910628493924
Eiji	negative:-10.323184242891017	positive:-9.630037062331072
killing	negative:-7.188938015563529	positive:-7.434060473596514
regiment	negative:-10.323217104657997	positive:-9.224604815989887
soldier	negative:-8.244169819973116	positive:-8.244169819973116
civil	negative:-10.323348540928025	positive:-8.377438391872712
war	negative:-7.380616663059249	positive:-6.611483575521382
He	negative:-5.67655808840133	positive:-5.526497393825596
showing	negative:-7.233652314234584	positive:-7.028857901588571
Since	negative:-8.126419632051062	positive:-8.244202667707446
examples	negative:-8.937152745674855	positive:-8.377536957739432
return	negative:-8.021617362857123	positive:-7.146148625503223
cross	negative:-8.937218450855731	positive:-8.126288234639404
deserted	negative:-9.224670536284338	positive:-9.224670536284338
alike	negative:-10.323217104657997	positive:-9.224604815989887
walked	negative:-7.433535194529939	positive:-8.37799680337079
completely	negative:-6.107514054929063	positive:-6.375778041523743
victim	negative:-7.925814628820829	positive:-8.244268359939364
expresses	negative:-10.323249965345116	positive:-8.936955604225226
positively	negative:-9.224736252259914	positive:-8.713910628493924
side	negative:-6.957727010835313	positive:-6.923825459159631
Funakoshi	negative:-10.323217104657997	positive:-9.224604815989887
church	negative:-8.021026268658906	positive:-8.531851892424896
grenade	negative:-9.630102784785171	positive:-9.224637676677007
although	negative:-6.636799210445942	positive:-6.662117018430232
most	negative:-5.121437498611299	positive:-4.929201484760166
hospital	negative:-8.021124808625153	positive:-8.12648532428298
become	negative:-6.860139425040474	positive:-6.355583414288079
higher	negative:-8.021157653122883	positive:-8.021157653122883
waiting	negative:-7.1055892274066	positive:-7.491251708218585
manipulated	negative:-10.323249965345116	positive:-8.936955604225226
Of	negative:-6.993080711756648	positive:-6.661723575802206
've	negative:-5.232835310990936	positive:-5.4651672883595515
once	negative:-6.249680715545417	positive:-6.122525540060171
starts	negative:-6.798990281837767	positive:-6.770002744964515
axis	negative:-10.323184242891017	positive:-9.630037062331072
In	negative:-5.356260912703956	positive:-5.270399622097563
allies	negative:-9.630069924098052	positive:-9.630069924098052
put	negative:-5.971523448686657	positive:-5.958784422909227
usual	negative:-7.233947584983601	positive:-6.741471099885806
away	negative:-6.108103137286719	positive:-6.079115600413467
no	negative:-4.686184081824723	positive:-5.075983073188488
disease	negative:-9.224769108628303	positive:-8.531621928068358
dog	negative:-7.615988096960123	positive:-7.684980968447075
she	negative:-5.405415502104404	positive:-5.289244070342362
likely	negative:-7.925978840522924	positive:-7.758924755859757
village	negative:-8.377799752563886	positive:-7.838803251831199
Once	negative:-8.021124808625153	positive:-8.12648532428298
cowardish	negative:-10.323184242891017	positive:-9.630037062331072
hit	negative:-6.859614903654202	positive:-6.714432893809704
directed	negative:-7.1893646017321995	positive:-6.890871613176203
scared	negative:-8.531983276888873	positive:-7.68468541650167
society	negative:-7.759384405221058	positive:-7.105457937814394
Natto	negative:-10.323184242891017	positive:-9.630037062331072
suffering	negative:-7.838836096328928	positive:-8.244301204437091
course	negative:-6.233069958009874	positive:-6.05074840121592
bit	negative:-6.03813243474825	positive:-5.7747149842961
would	negative:-4.64042756282188	positive:-4.831482799584589
up	negative:-4.709045728651339	positive:-4.826828764307723
street	negative:-7.926011679627733	positive:-7.6848496228108445
able	negative:-6.5417184673754445	positive:-6.588238483010338
follows	negative:-7.6851122968338945	positive:-7.379730647282712
doctor	negative:-8.12648532428298	positive:-8.021124808625153
wildly	negative:-8.937119891465406	positive:-8.531654783357242
second	negative:-6.519376694597472	positive:-6.519376694597472
two	negative:-5.233551177219607	positive:-5.309537084197529
walk	negative:-7.551548073729551	positive:-7.551548073729551
picks	negative:-8.126321085610973	positive:-8.714107750513092
profiling	negative:-10.323184242891017	positive:-9.630037062331072
horrors	negative:-8.531720490696776	positive:-8.531720490696776
visual	negative:-8.378193815356322	positive:-7.146050134063691
way	negative:-5.192696908076165	positive:-5.175305165364296
powers	negative:-8.937152745674855	positive:-8.377536957739432
written	negative:-6.58791070013078	positive:-6.799219793797987
finds	negative:-7.491448610293256	positive:-6.890674749864326
finally	negative:-7.1471658027602185	positive:-6.611647566403857
brave	negative:-8.714042047490729	positive:-8.377569810869517
nationalistic	negative:-10.323184242891017	positive:-9.630037062331072
heroic	negative:-9.630234216736469	positive:-8.3774712482411
everything	negative:-6.337874017948852	positive:-6.215984200339816
movies	negative:-5.103381827577544	positive:-5.246894109199747
cure	negative:-8.937152745674855	positive:-8.377536957739432
Japanese	negative:-8.532048962648224	positive:-7.551219709636498
built	negative:-8.244268359939364	positive:-7.925814628820829
runs	negative:-7.758793388655391	positive:-8.377832597061614
watched	negative:-6.184312516888924	positive:-6.078952001231098
lives	negative:-7.234996731009476	positive:-6.106531479191685
fights	negative:-8.12648532428298	positive:-8.021124808625153
Phillipinos	negative:-10.323184242891017	positive:-9.630037062331072
wants	negative:-6.798727917937534	positive:-7.029251576549367
destroyed	negative:-8.53168763756669	positive:-8.714009194360644
machine	negative:-7.838770406254675	positive:-8.53191758681462
Kon	negative:-10.323217104657997	positive:-9.224604815989887
instincts	negative:-9.630102784785171	positive:-9.224637676677007
precious	negative:-8.126288234639404	positive:-8.937218450855731
Ichikawa	negative:-10.323217104657997	positive:-9.224604815989887
shoots	negative:-8.53168763756669	positive:-8.714009194360644
does	negative:-4.866305512038889	positive:-4.870516044575233
river	negative:-8.937218450855731	positive:-8.126288234639404
heroes	negative:-8.531950432391145	positive:-7.758760544157663
another	negative:-5.657363329174806	positive:-5.629711797844295
into	negative:-5.057772002653856	positive:-5.057772002653856
anything	negative:-5.713405986760137	positive:-6.154139233705759
corpses	negative:-8.936988463832558	positive:-9.630135644392501
piled	negative:-8.936988463832558	positive:-9.630135644392501
soldiers	negative:-7.758957594964566	positive:-7.8390003026381025
stash	negative:-9.630135644392501	positive:-8.936988463832558
say	negative:-5.335261581921523	positive:-5.397999922554947
animals	negative:-8.532147483198049	positive:-7.379467973259663
role	negative:-6.038034374702737	positive:-5.806705238802087
being	negative:-5.3092442917690015	positive:-5.289699695696031
human	negative:-6.958415614472773	positive:-6.393885811734921
health	negative:-9.63020136036808	positive:-8.531589071699969
2	negative:-5.896695887321889	positive:-6.395687053440877
Ooka	negative:-10.323217104657997	positive:-9.224604815989887
sick	negative:-7.379697816802892	positive:-7.759187438507795
something	negative:-5.321187180638785	positive:-5.569648539937284
influenced	negative:-10.323348540928025	positive:-8.377438391872712
typical	negative:-7.38019016086286	positive:-6.992424629854096
hand	negative:-6.923759853123853	positive:-7.029120368781679
turned	negative:-6.798367055143493	positive:-7.552138857519873
Her	negative:-7.616217910319857	positive:-7.279745673698644
about	negative:-4.465554880905852	positive:-4.488154712823093
fighting	negative:-7.6158895893503304	positive:-7.92604451765417
War	negative:-7.839361461634066	positive:-7.146214281074121
him	negative:-5.284179433762219	positive:-5.146649635171
remains	negative:-8.937317000533062	positive:-7.838704711864952
survival	negative:-9.224769108628303	positive:-8.531621928068358
All	negative:-6.183887033713638	positive:-6.28397049227062
Comparing	negative:-10.323184242891017	positive:-9.630037062331072
trying	negative:-5.850568439082773	positive:-6.25036780965526
sister	negative:-7.616447670877545	positive:-6.992293361804551
hope	negative:-6.829269439568115	positive:-6.433956702923968
its	negative:-5.363474186083086	positive:-5.209323506255828
friendly	negative:-9.22470339481195	positive:-8.937021322360168
bodies	negative:-8.126321085610973	positive:-8.714107750513092
moment	negative:-6.714662405769924	positive:-6.6620186722845025
easily	negative:-7.380419838494909	positive:-6.769510756171935
fully	negative:-8.021354697458495	positive:-7.551351068212759
back	negative:-5.603424176284846	positive:-5.518627639624769
apologize	negative:-9.224670536284338	positive:-9.224670536284338
arrive	negative:-8.714042047490729	positive:-8.377569810869517
mentor	negative:-9.224637676677007	positive:-9.630102784785171
traded	negative:-9.630069924098052	positive:-9.630069924098052
comedy-drama	negative:-9.224637676677007	positive:-9.630102784785171
father	negative:-7.106999502971999	positive:-6.2315307656181
final	negative:-6.714367309287628	positive:-6.924087840269697
aside	negative:-8.244399731458207	positive:-7.615791072035833
informs	negative:-9.630234216736469	positive:-8.3774712482411
done	negative:-6.024918926745077	positive:-5.665544925837179
ever	negative:-5.1346928537425125	positive:-5.481159621088721
nothing	negative:-5.492930792700174	positive:-6.218338835478341
where	negative:-5.289699695696031	positive:-5.3092442917690015
Giants	negative:-9.630069924098052	positive:-9.630069924098052
tradition	negative:-9.224867671256721	positive:-8.12625538258861
manager	negative:-9.224867671256721	positive:-8.12625538258861
slugger	negative:-10.323184242891017	positive:-9.630037062331072
deep	negative:-8.126682375089883	positive:-7.551318230186322
living	negative:-7.380518255619568	positive:-6.687371075059622
clutching	negative:-10.323184242891017	positive:-9.630037062331072
casting	negative:-8.021223338882233	positive:-7.8389017820882785
image-conscious	negative:-10.323184242891017	positive:-9.630037062331072
might	negative:-5.983838137234098	positive:-6.20050917404269
critics	negative:-8.021486038781948	positive:-7.328338858222002
workplace	negative:-10.323184242891017	positive:-9.630037062331072
national	negative:-8.937021322360168	positive:-9.22470339481195
interest	negative:-6.859450934283313	positive:-6.859450934283313
seen	negative:-5.042127468724178	positive:-5.148046487607916
SO	negative:-8.937021322360168	positive:-9.22470339481195
show	negative:-5.734909136111619	positive:-5.602641167533868
carry	negative:-7.925716088854581	positive:-8.714173449218851
call	negative:-6.6616579869785175	positive:-7.067123095086682
